OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
10613,1619071STMH,1,PRIV,ACT,6/4/2020 12:00:00 AM,5,5235.82,5224.27,5222.68,,,,,15.32,Contech storm filter,5238,1,3143578.79368082,1693954.19062805
10614,23912STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,5216.75,5217.6,,,,,8.83,,5225.58,1,3139842.82772756,1693960.45078613
10615,818564STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5210.17,5210.05,,,,,4.49,,5214.54,1,3134030.17465472,1693963.87499188
10616,1470745STMH,1,PRIV,ACT,4/22/2018 12:00:00 AM,,5222.49,5214.9,,,,,,7.59,,5222.49,1,3142138.37628606,1693981.25914347
10617,23885STMH,1,DPUB,ACT,,,,,,,,,,,,5244,1,3143854.95651431,1693982.29424638
10618,23883STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,5195.92,5185.06,5183.33,5183.28,,,,12.64,,5196,1,3135902.20339099,1693982.3057293
10619,407560STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5357.9,5357.79,,,,,,,5365.77,1,3169063.83194947,1693985.70204796
10620,407559STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5356.94,5355.12,,,,,,,5364.87,1,3169116.82889073,1693986.26143005
10621,23876STMH,1,DPUB,ACT,,,,,,,,,,,,5244,1,3143742.14735673,1693987.51175563
10622,23875STMH,1,PRIV,ACT,12/1/2000 12:00:00 AM,,,5273.35,5275,5273.55,,,,8.88,,5282.23,1,3145279.98155139,1693989.20663413
10623,407558STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5349.46,5347.95,,,,,,,5360,1,3169397.81323689,1693989.22959997
10624,407557STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5347.53,5347.58,,,,,,,5359.69,1,3169444.81051823,1693989.72566196
10625,23872STMH,1,DPUB,ACT,,,,5345.11,5344.86,,,,,,,5352,1,3170097.9791594,1693991.26699747
10626,407556STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5346.04,5346.01,,,,,,,5356,1,3169728.79453032,1693992.7249998
10627,407555STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5345.46,5345.34,,,,,10.62,,5355.96,1,3169763.7928199,1693993.09474972
10628,23870STMH,1,DPUB,ACT,,,,5343.67,5343.55,,,,,,,5351.62,1,3170386.53730932,1693993.68595588
10629,23868STMH,1,DPUB,ACT,,,,5343.16,5343.15,,,,,,,5350.62,1,3170427.2442489,1693995.1698768
10630,23867STMH,1,DPUB,ACT,,,,5239.53,,,,,,,,5244,1,3143731.19363847,1693995.31324922
10631,407554STMH,1,DPUB,ACT,12/30/1899 12:00:00 AM,,,5342.73,5342.23,,,,,10.09,,5352.32,1,3170033.18270107,1693995.93988839
10632,23861STMH,1,DPUB,ACT,,,,5341.91,5341.79,,,,,,,5348,1,3170703.45662297,1693996.56095013
10633,23862STMH,1,DPUB,ACT,,,,5341.95,5341.65,,,,,9.05,,5351,1,3170740.97656105,1693996.56095013
10634,23860STMH,1,DPUB,ACT,12/1/1901 12:00:00 AM,,,5265.86,5273,,,,,15.63,,5281.49,1,3145245.12958698,1693996.73516238
10635,23855STMH,1,DPUB,ACT,,,,5339.7,5339.55,,,,,,,5346,1,3171059.46247265,1693997.38903247
10636,23856STMH,1,DPUB,ACT,,,,5339.42,5339.16,,,,,,,5346,1,3171089.46274073,1693997.38903247
10637,23852STMH,1,DPUB,ACT,,,,5335.67,5335.67,,,,,,,5342.53,1,3171708.29057132,1693998.9474283
10638,23849STMH,1,DPUB,ACT,,,,5337.86,5337.72,,,,,,,5344,1,3171381.36570023,1693999.13082688
10639,23846STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5224.74,1,3139672.1817434,1694004.00844181
10640,23845STMH,1,DPUB,ACT,,,,5335.33,5335.33,,,,,,,5336.5,1,3171762.66546257,1694007.83225305
10641,23844STMH,1,DPUB,ACT,12/1/1901 12:00:00 AM,,,5283.52,,,,,,7.12,,5290.64,1,3146908.74141723,1694008.03500855
10642,23843STMH,1,DPUB,ACT,,,,5330.26,5328.82,,,,,,,5334,1,3172564.13925332,1694008.17313163
10643,23841STMH,1,DPUB,ACT,,,,5330.48,5330.63,,,,,,,5334,1,3172382.20982714,1694008.35587405
10644,23840STMH,1,DPUB,ACT,,,,5330.19,5330.23,,,,,,,5334,1,3172428.57357956,1694009.04517713
10645,23839STMH,1,DPUB,ACT,,,,5333.49,5333.38,,,,,,,5334,1,3172049.74133198,1694009.38211872
10646,23838STMH,1,DPUB,ACT,,,,5294.1,,,,,,5.9,,5300,1,3157302.39418632,1694010.41459696
10647,23832STMH,1,DPUB,ACT,12/1/1901 12:00:00 AM,,,5307.92,,,,,,11.9,,5319.82,1,3150526.46941797,1694017.03433438
10648,818572STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5204.25,5204.05,,,,,10.86,,5214.91,1,3134079.46786323,1694017.19017397
10649,23829STMH,1,DPUB,ACT,12/1/1901 12:00:00 AM,,,5302.16,,,,,,8.01,,5310.17,1,3148856.95011923,1694018.86766405
10650,23826STMH,1,DPUB,ACT,7/1/1933 12:00:00 AM,,,5245.47,,,,,,3.31,,5248.78,1,3133303.72171131,1694024.45984447
10651,818574STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5203.48,5203.42,,,,,11.6,,5215.02,1,3134143.95854789,1694025.31089263
10652,23819STMH,1,DPUB,ACT,,,,5336.52,,,,,,5334,,5334,1,3172713.0566064,1694032.61140296
10653,818681STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,5196.23,5185.85,5185.74,,,,,10.49,,5195.98254192,1,3135942.30140789,1694039.68291113
10654,818692STMH,1,DPUB,ACT,,,5195.22,5189.68,5189.38,,,,,5.84,,5194.82676235,1,3136108.28007856,1694040.06972139
10655,23809STMH,1,DPUB,ACT,,,,,,,,,,,,5328,1,3163875.44370423,1694052.13597022
10656,1616185STMH,1,PRIV,ACT,,3,5324.83,,,,,,,0,24"" Type D slotted grate cover,5326.19710602,1,3151277.73038265,1694052.17927721
10657,23807STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5224,1,3139671.96028714,1694056.77014729
10658,772131STMH,1,PRIV,ACT,5/16/2012 12:00:00 AM,4,,5224.37,5224.29,,,,,10.73,,5235.02,1,3142650.81850265,1694074.10114938
10659,23801STMH,1,DPUB,ACT,,,,,,,,,,,,5206,1,3134530.23303781,1694076.92102563
