OBJECTID,NBHD_NAME,CANOPY_ACRES,NBHD_ACRES,PCT_CANOPY,GlobalID,Shape__Area,Shape__Length
54,Rosedale,75.49012906,360.7635928,20.92509626,f0912af5-d375-44fa-aead-79fc984a8292,3288336.98095703,484446.075539805
55,Ruby Hill,129.91502121,929.21924095,13.98109461,ff4cd691-e219-4f68-b449-c6c0e353898a,5659075.51953125,901095.540380081
56,Skyland,63.78209939,488.58270514,13.05451436,2e730243-925d-41ef-a827-a0f35a1739f5,2778337.20214844,445947.607871935
57,Sloan Lake,153.71452915,895.57422884,17.1637955,bc1d7524-d5c3-4007-9a02-8c148874ddca,6695777.65966797,1008734.14958627
58,South Park Hill,334.1508414,953.93505666,35.02867822,9f160081-e904-4e27-bda9-6f08b362d207,14555552.4003906,1822011.78006429
59,Southmoor Park,96.57478521,596.12468157,16.20043394,434ed37b-8b64-46f7-a1a5-67c033d2b412,4206780.83691406,609449.742257708
60,Speer,122.82759113,546.55520281,22.47304399,1ce26d10-8960-4641-afd0-5907679a7083,5350348.61865234,785414.032371919
61,Sun Valley,17.58534424,411.08312406,4.27780738,aed20501-6804-4577-be04-79b2407091c5,766014.54296875,150806.568668757
62,Sunnyside,157.04299658,911.26048629,17.23360103,bf7371af-6912-4555-ba24-c856346662f3,6840765.51611328,1052728.57648089
63,Union Station,14.03211253,280.78117977,4.99752603,06b1c873-c18c-4c65-aa53-ec77ed3964e6,611236.353027344,115511.911587646
64,University,195.5960512,797.67600263,24.52073907,c069c707-4bf2-4b6e-ad2f-ae5e383f9e7d,8520130.23876953,1218789.65362731
65,University Hills,194.53914122,928.90388881,20.94287079,0a456224-3ff9-4048-b0e1-8123919634d1,8474091.18457031,1237833.52776139
66,University Park,219.18226111,744.02352641,29.45904979,accd7631-8642-4976-af1e-4e0e00f98a09,9547541.20361328,1249322.49763977
67,Valverde,54.68624217,614.4673169,8.89978046,e3346d05-8ed2-470f-80eb-7e234fa018b9,2382123.0859375,396964.705823061
68,Villa Park,107.59109501,631.33840612,17.04174718,9d035902-73fe-4a53-8a54-586574b096e0,4686649.26171875,765503.089586004
69,Virginia Village,284.65377245,1242.94258595,22.90160267,7a08f96b-7256-46b1-aae0-6fee61aa66ff,12399468.684082,1739912.41611246
70,Washington Park,267.09685973,966.78003554,27.62746953,34c76f2e-6098-480d-b0e0-8985980a596e,11634692.5820313,1506120.61608283
71,Washington Park West,133.06139051,558.48919388,23.82523995,2fca9f7a-420e-4bb0-95c1-8f432db6b393,5796130.65136719,849920.862955809
72,Washington Virginia Vale,216.46415637,1170.2495874,18.49726406,eda43a40-4a40-4529-ae0b-bb759f77f9cd,9429140.86669922,1411825.09658827
73,Wellshire,161.80094308,594.36868405,27.22231965,e79d84ec-8601-4921-b011-82e3007e6ccc,7048020.95068359,921348.611617858
74,West Colfax,82.6789834,643.93718067,12.83960391,82651e93-d608-465d-86ce-51c21a221b0f,3601482.06982422,571283.962631942
75,West Highland,169.16680662,718.51183841,23.5440528,b316b98d-98d9-4333-9c12-016f4d02fd1e,7368876.54150391,1130799.24020023
76,Westwood,143.65981967,957.88452478,14.99761359,93b9f716-824b-4776-aab3-ef09c419c755,6257796.38720703,1104366.19337932
77,Whittier,81.68985367,360.3981685,22.66655627,2e650c30-f680-4711-832f-90fd4eab41bc,3558395.84619141,534448.724377595
78,Windsor,215.14680901,1094.67368338,19.65396741,9e8be78e-f46a-4230-b614-f282325a10eb,9371704.37255859,1351810.32152115
