OBJECTID,FACILITYID,SUBTYPE,UNITTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_INCHES,FLAPGATE,TRASH_RACK,INVERT1,INVERT2,INVERT3,GROUNDELEVATION,ENABLED,x,y
2345,812526STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5169,5167.04,,,1,3139028.01013148,1701185.65188688
2346,407723STOF,3,Other,PRIV,ACT,8/28/2003 12:00:00 AM,,,,5175.33,,,,1,3140172.99504623,1701226.51860304
2347,14970STOF,2,Headwall,DPUB,ACT,,,,,5170.97,,,,1,3139068.40407956,1701244.36043088
2348,1504020STOF,1,Flaired End Section,PRIV,ACT,7/24/2018 12:00:00 AM,,,,5167.22,,,5167.22,1,3138904.56582457,1701281.50536971
2349,856710STOF,3,Other,PRIV,ACT,4/14/2014 12:00:00 AM,,,,5174.59,,,,1,3141889.06608914,1701362.29228163
2350,565467STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5174,5176,,,1,3139210.00747089,1701377.7909383
2351,484155STOF,3,Other,PRIV,ACT,2/27/2006 12:00:00 AM,,,,5284.5,,,,1,3156573.08757406,1701398.81583063
2352,812545STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5173.96,5170.19,,,1,3139203.00650065,1701414.12255855
2353,636091STOF,2,Headwall,PRIV,ACT,2/4/2008 12:00:00 AM,18,,,5212.1,,,,1,3137807.03422698,1701415.20195271
2354,812544STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5170.15,5168.36,,,1,3139196.19450639,1701449.47222538
2355,857352STOF,3,Other,PRIV,ACT,4/14/2014 12:00:00 AM,,,,5174.59,,,,1,3141978.13677715,1701467.85407838
2356,407703STOF,2,Headwall,PRIV,ACT,12/30/1899 12:00:00 AM,,,,,,,,1,3142306.72240606,1701476.99021496
2357,812543STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5168.32,5165.36,,,1,3139189.7611203,1701482.85798538
