OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
12619,1631702STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.96,5395.96,,,1,3166777.44577423,1686894.54398622
12620,1631708STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5398.28,5395.89,,,1,3166794.58976881,1686900.18636338
12621,30267STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145567.94521432,1686901.66175413
12622,30266STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3146813.39941631,1686902.67290697
12623,1456611STIL,2,NO14,CDOT,ACT,10/1/2012 12:00:00 AM,6,2,5263.16,5258.5,,,1,3133669.83712082,1686904.85564539
12624,30263STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3135114.25253907,1686906.21226996
12625,1631654STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5396.62,5395.37,,,1,3166827.68517506,1686906.31496005
12626,1631797STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5399.7,5396.52,5396.52,,1,3166618.2656464,1686907.68109904
12627,30261STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145851.90133931,1686907.75623013
12628,1631701STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.97,5396.15,,,1,3166775.60096164,1686908.21587488
12629,615003STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3148067.3834569,1686908.67125455
12630,47435STIL,98,UNKN,FDST,ACT,,,1,,5220.73,,,1,3139158.83467297,1686908.95176581
12631,30259STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3145522.02076548,1686909.33824797
12632,30258STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3146216.33302514,1686912.37794004
12633,30257STIL,3,UNKN,DPUB,ACT,,,2,,,,,1,3134872.6637834,1686912.69946171
12634,30256STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3126296.04904689,1686912.93896255
12635,30268STIL,1,UNKN,PRIV,ACT,1/20/2001 12:00:00 AM,,3,,5232.34,,,1,3140908.23602982,1686913.88220213
